Typ,Gewichtung,Latitude,Longitude
Bushaltestelle,1,49.0017162,8.5290187
Bushaltestelle,1,49.0009257,8.3122311
Bushaltestelle,1,48.9990191,8.4745105
Bushaltestelle,1,49.0452871,8.4479138
Bushaltestelle,1,49.0554967,8.5306646
Bushaltestelle,1,48.9687699,8.4145362
Bushaltestelle,1,49.0017846,8.3367969
Bushaltestelle,1,48.9997094,8.3343421
Bushaltestelle,1,48.9925145,8.448399
Bushaltestelle,1,49.0271448,8.3654877
Bushaltestelle,1,49.0020397,8.3429528
Bushaltestelle,1,48.9733177,8.4736092
Bushaltestelle,1,49.0269487,8.3864394
Bushaltestelle,1,49.03485,8.3404457
Bushaltestelle,1,48.9740402,8.4531351
Bushaltestelle,1,48.9520589,8.5116036
Bushaltestelle,1,49.0024616,8.4348305
Bushaltestelle,1,48.9947838,8.4821966
Bushaltestelle,1,49.0056269,8.4956645
Bushaltestelle,1,48.9710291,8.5489267
Bushaltestelle,1,49.0455689,8.3816439
Bushaltestelle,1,49.0055673,8.3777173
Bushaltestelle,1,49.0432904,8.4604691
Bushaltestelle,1,49.0037152,8.4230356
Bushaltestelle,1,48.965334,8.472131
Bushaltestelle,1,49.000602,8.3660243
Bushaltestelle,1,48.9500403,8.4063514
Bushaltestelle,1,48.9945076,8.3514733
Bushaltestelle,1,49.0352901,8.3363408
Bushaltestelle,1,48.9916632,8.4011534
Bushaltestelle,1,49.0202515,8.3650456
Bushaltestelle,1,48.9886818,8.4913332
Bushaltestelle,1,49.010909,8.359608
Bushaltestelle,1,49.0001864,8.4779023
Bushaltestelle,1,49.0404147,8.3928477
Bushaltestelle,1,48.9517846,8.4051917
Bushaltestelle,1,48.9956169,8.4501192
Bushaltestelle,1,49.0319314,8.4421121
Bushaltestelle,1,49.0106517,8.3594905
Bushaltestelle,1,48.9967109,8.3484938
Bushaltestelle,1,48.97415,8.4640651
Bushaltestelle,1,49.0188877,8.4670148
Bushaltestelle,1,48.9539468,8.5078181
