Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude
Midorion  GmbH & Co. KG,,In Betrieb,Schnellladeeinrichtung,2,200.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.94503,8.49445
Midorion  GmbH & Co. KG,,In Betrieb,Normalladeeinrichtung,1,22.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.94503,8.49445
Midorion  GmbH & Co. KG,,In Betrieb,Normalladeeinrichtung,1,22.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.94503,8.49445
Midorion  GmbH & Co. KG,,In Betrieb,Normalladeeinrichtung,1,22.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.94503,8.49445
Midorion  GmbH & Co. KG,,In Betrieb,Normalladeeinrichtung,1,22.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.94503,8.49445
amba operations GmbH,amba operations,In Betrieb,Normalladeeinrichtung,2,44.0,13.10.2025,Auf der Römerstr.,1,76228,Karlsruhe,"Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland","Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland",54.32459,7.36405
amba operations GmbH,amba operations,In Betrieb,Normalladeeinrichtung,2,44.0,13.10.2025,Auf der Römerstr.,1,76228,Karlsruhe,"Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland","Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland",54.32459,7.36405
amba operations GmbH,amba operations,In Betrieb,Normalladeeinrichtung,2,44.0,13.10.2025,Auf der Römerstr.,1,76228,Karlsruhe,"Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland","Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland",54.32459,7.36405
amba operations GmbH,amba operations,In Betrieb,Normalladeeinrichtung,2,44.0,13.10.2025,Auf der Römerstr.,1,76228,Karlsruhe,"Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland","Auf der Römerstr. 1, 76228 Karlsruhe, Deutschland",54.32459,7.36405
amba operations GmbH,amba operations,In Betrieb,Normalladeeinrichtung,1,22.0,13.10.2025,Rudolf-Link-Str.,3,76228,Karlsruhe,"Rudolf-Link-Str. 3, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 3, 76228 Karlsruhe, Deutschland",54.32459,7.36405
amba operations GmbH,amba operations,In Betrieb,Normalladeeinrichtung,1,22.0,13.10.2025,Rudolf-Link-Str.,3,76228,Karlsruhe,"Rudolf-Link-Str. 3, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 3, 76228 Karlsruhe, Deutschland",54.32459,7.36405
NOVELLUS Integrierte Dienste GmbH,,In Betrieb,Normalladeeinrichtung,1,22.0,17.10.2025,Kleinsteinbacher Str.,77,76228,Karlsruhe,"Kleinsteinbacher Str. 77, 76228 Karlsruhe, Deutschland","Kleinsteinbacher Str. 77, 76228 Karlsruhe, Deutschland",48.95789,8.5141
